,Player,Pos,Date,TM,OPP,H/A,W/L,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
55,Blake Griffin,F,2018-11-03,DET,PHI,A,L,1,37,12,21,0.571,10,14,0.714,2,7,0.286,12,16,0.75,1,12,13,6,2,0,7,5,38
56,Kyrie Irving,G,2018-12-12,BOS,WAS,A,W,1,40,12,28,0.429,8,17,0.471,4,11,0.364,10,10,1.0,0,3,3,7,1,0,4,1,38
57,LeBron James,F-G,2018-11-29,LAL,IND,H,W,1,38,15,27,0.556,13,20,0.65,2,7,0.286,6,10,0.6,1,8,9,7,2,0,4,2,38
58,Donovan Mitchell,G,2018-10-24,UTA,HOU,A,W,1,39,14,25,0.56,10,16,0.625,4,9,0.444,6,8,0.75,0,5,5,7,0,0,3,1,38
59,D'Angelo Russell,G,2018-11-25,BRK,PHI,H,L,1,34,16,28,0.571,14,22,0.636,2,6,0.333,4,4,1.0,1,7,8,8,0,1,1,0,38
60,LaMarcus Aldridge,F-C,2018-10-22,SAS,LAL,A,W,1,40,13,22,0.591,13,22,0.591,0,0,,11,18,0.611,5,5,10,5,1,1,1,3,37
61,Devin Booker,G,2018-11-25,PHO,DET,A,L,1,37,14,24,0.583,11,15,0.733,3,9,0.333,6,6,1.0,0,4,4,5,0,0,4,2,37
62,Devin Booker,G,2018-11-19,PHO,PHI,A,L,1,36,13,28,0.464,7,13,0.538,6,15,0.4,5,7,0.714,0,3,3,8,0,0,2,6,37
63,Mike Conley,G,2018-11-30,MEM,BRK,A,W,1,46,13,25,0.52,11,18,0.611,2,7,0.286,9,9,1.0,0,5,5,10,0,1,3,3,37
64,Stephen Curry,G,2018-10-31,GSW,NOP,H,W,1,37,12,20,0.6,5,9,0.556,7,11,0.636,6,7,0.857,0,2,2,9,2,0,5,3,37
65,Blake Griffin,F,2018-11-21,DET,HOU,A,L,1,38,9,21,0.429,3,12,0.25,6,9,0.667,13,15,0.867,5,6,11,4,0,0,9,5,37
66,Tim Hardaway,G,2018-10-31,NYK,IND,H,L,1,38,10,19,0.526,3,8,0.375,7,11,0.636,10,10,1.0,0,1,1,1,0,0,5,4,37
67,Buddy Hield,G,2018-12-19,SAC,OKC,H,L,1,35,11,25,0.44,4,11,0.364,7,14,0.5,8,8,1.0,0,6,6,3,2,0,0,2,37
68,Jrue Holiday,G,2018-12-09,NOP,DET,A,W,1,40,14,22,0.636,8,12,0.667,6,10,0.6,3,3,1.0,1,4,5,5,3,0,9,3,37
69,Nikola Jokic,C-F,2018-11-09,DEN,BRK,H,L,1,33,14,22,0.636,13,21,0.619,1,1,1.0,8,10,0.8,7,14,21,3,1,2,6,5,37
70,Kyle Kuzma,F,2018-10-22,LAL,SAS,H,L,1,45,15,25,0.6,11,15,0.733,4,10,0.4,3,4,0.75,0,8,8,3,0,0,2,1,37
71,Kawhi Leonard,F,2018-12-21,TOR,CLE,H,W,1,32,12,16,0.75,10,12,0.833,2,4,0.5,11,12,0.917,2,4,6,1,1,0,1,1,37
72,Kawhi Leonard,F,2018-11-29,TOR,GSW,H,W,1,44,14,24,0.583,11,18,0.611,3,6,0.5,6,6,1.0,2,6,8,3,1,1,1,4,37
73,Damian Lillard,G,2018-12-02,POR,SAS,A,L,1,41,12,28,0.429,9,17,0.529,3,11,0.273,10,10,1.0,0,2,2,10,2,0,1,2,37
74,Julius Randle,F-C,2018-12-03,NOP,LAC,H,L,1,39,15,24,0.625,12,20,0.6,3,4,0.75,4,7,0.571,1,7,8,4,0,0,0,6,37
75,Kemba Walker,G,2018-10-27,CHO,PHI,A,L,1,35,11,31,0.355,8,16,0.5,3,15,0.2,12,14,0.857,1,5,6,6,1,2,2,1,37
76,Giannis Antetokounmpo,F-G,2018-11-28,MIL,CHI,H,W,1,34,14,21,0.667,14,18,0.778,0,3,0.0,8,12,0.667,2,9,11,8,2,1,4,2,36
77,Bradley Beal,G,2018-12-05,WAS,ATL,A,W,1,42,12,22,0.545,10,16,0.625,2,6,0.333,10,13,0.769,1,5,6,9,1,0,3,4,36
78,Anthony Davis,F-C,2018-12-02,NOP,CHO,A,W,1,37,14,19,0.737,12,16,0.75,2,3,0.667,6,6,1.0,4,15,19,8,2,2,4,4,36
79,DeMar DeRozan,G-F,2018-12-07,SAS,LAL,H,W,1,36,11,20,0.55,11,20,0.55,0,0,,14,18,0.778,1,7,8,9,0,2,1,1,36
80,DeMar DeRozan,G-F,2018-12-02,SAS,POR,H,W,1,38,13,27,0.481,13,27,0.481,0,0,,10,10,1.0,1,7,8,6,2,0,4,2,36
81,Eric Gordon,G,2018-11-26,HOU,WAS,A,L,1,43,12,23,0.522,4,7,0.571,8,16,0.5,4,7,0.571,0,2,2,2,0,0,1,3,36
82,James Harden,G,2018-10-20,HOU,LAL,A,W,1,38,10,19,0.526,5,9,0.556,5,10,0.5,11,15,0.733,1,6,7,5,2,1,6,2,36
83,Jaren Jackson,F,2018-11-30,MEM,BRK,A,W,1,43,13,22,0.591,10,15,0.667,3,7,0.429,7,7,1.0,3,5,8,2,0,0,1,4,36
84,LeBron James,F-G,2018-12-18,LAL,BRK,A,L,1,41,13,23,0.565,11,16,0.688,2,7,0.286,8,13,0.615,1,12,13,8,1,1,5,1,36
85,Kawhi Leonard,F,2018-12-05,TOR,PHI,H,W,1,35,13,24,0.542,8,18,0.444,5,6,0.833,5,6,0.833,1,8,9,1,5,1,2,0,36
86,Nikola Mirotic,F,2018-10-19,NOP,SAC,H,W,1,31,14,21,0.667,9,12,0.75,5,9,0.556,3,6,0.5,2,7,9,2,0,0,0,4,36
87,Victor Oladipo,G,2018-11-07,IND,PHI,H,L,1,37,14,30,0.467,10,16,0.625,4,14,0.286,4,6,0.667,0,6,6,7,2,3,1,1,36
88,Nikola Vucevic,C,2018-11-17,ORL,LAL,H,W,1,31,15,23,0.652,13,18,0.722,2,5,0.4,4,5,0.8,4,9,13,0,2,0,3,1,36
89,John Wall,G,2018-11-26,WAS,HOU,H,W,1,40,13,24,0.542,11,19,0.579,2,5,0.4,8,11,0.727,0,3,3,11,0,2,5,4,36
90,Giannis Antetokounmpo,F-G,2018-11-23,MIL,PHO,H,L,1,36,14,16,0.875,14,15,0.933,0,1,0.0,7,12,0.583,1,9,10,3,1,0,4,2,35
91,Devin Booker,G,2018-10-17,PHO,DAL,H,W,1,33,12,19,0.632,6,9,0.667,6,10,0.6,5,6,0.833,0,4,4,7,0,0,3,4,35
92,Stephen Curry,G,2018-12-14,GSW,SAC,A,W,1,36,11,23,0.478,6,9,0.667,5,14,0.357,8,8,1.0,1,6,7,6,3,0,1,2,35
93,Stephen Curry,G,2018-10-28,GSW,BRK,A,W,1,36,11,26,0.423,4,11,0.364,7,15,0.467,6,7,0.857,1,6,7,3,1,0,2,1,35
94,Joel Embiid,C,2018-11-12,PHI,MIA,A,W,1,36,8,15,0.533,5,11,0.455,3,4,0.75,16,20,0.8,6,12,18,3,0,0,2,1,35
95,Paul George,F,2018-11-14,OKC,NYK,H,W,1,29,13,22,0.591,8,11,0.727,5,11,0.455,4,4,1.0,1,6,7,5,2,1,0,3,35
96,Blake Griffin,F,2018-12-09,DET,NOP,H,L,1,38,13,25,0.52,9,16,0.563,4,9,0.444,5,8,0.625,0,5,5,2,1,1,3,1,35
97,James Harden,G,2018-12-20,HOU,MIA,A,L,1,43,7,23,0.304,1,9,0.111,6,14,0.429,15,18,0.833,1,5,6,12,2,0,3,4,35
98,James Harden,G,2018-12-08,HOU,DAL,A,L,1,37,11,22,0.5,5,6,0.833,6,16,0.375,7,7,1.0,0,4,4,8,1,1,6,5,35
99,James Harden,G,2018-12-19,HOU,WAS,H,W,1,34,10,18,0.556,4,7,0.571,6,11,0.545,9,9,1.0,0,3,3,9,2,0,2,4,35
100,LeBron James,F-G,2018-12-07,LAL,SAS,A,L,1,37,13,28,0.464,10,20,0.5,3,8,0.375,6,9,0.667,2,6,8,11,2,0,1,4,35
101,LeBron James,F-G,2018-10-27,LAL,SAS,A,L,1,34,13,21,0.619,11,15,0.733,2,6,0.333,7,8,0.875,1,10,11,4,2,0,4,3,35
102,Nikola Jokic,C-F,2018-10-20,DEN,PHO,H,W,1,31,11,11,1.0,8,8,1.0,3,3,1.0,10,11,0.909,0,11,11,11,4,1,0,3,35
103,Kawhi Leonard,F,2018-10-24,TOR,MIN,H,W,1,35,15,23,0.652,13,19,0.684,2,4,0.5,3,4,0.75,1,4,5,2,2,2,3,2,35
104,Donovan Mitchell,G,2018-11-21,UTA,SAC,H,L,1,32,13,23,0.565,9,14,0.643,4,9,0.444,5,5,1.0,0,2,2,3,0,1,1,5,35
105,Karl-Anthony Towns,C-F,2018-11-24,MIN,CHI,H,W,1,37,13,23,0.565,12,18,0.667,1,5,0.2,8,10,0.8,9,14,23,6,0,0,3,6,35
106,Karl-Anthony Towns,C-F,2018-12-05,MIN,CHO,H,W,1,36,13,20,0.65,9,15,0.6,4,5,0.8,5,7,0.714,4,8,12,3,2,6,2,4,35
107,Dwyane Wade,G,2018-11-25,MIA,TOR,A,L,0,34,13,22,0.591,9,15,0.6,4,7,0.571,5,7,0.714,4,1,5,6,0,1,3,3,35
108,Trae Young,G,2018-10-21,ATL,CLE,A,W,1,38,13,23,0.565,7,9,0.778,6,14,0.429,3,3,1.0,0,2,2,11,1,0,1,2,35
109,Giannis Antetokounmpo,F-G,2018-11-24,MIL,SAS,H,W,1,39,9,16,0.563,9,13,0.692,0,3,0.0,16,20,0.8,2,16,18,8,2,1,3,3,34
110,Jimmy Butler,F-G,2018-11-25,PHI,BRK,A,W,1,37,11,20,0.55,6,14,0.429,5,6,0.833,7,7,1.0,6,6,12,2,4,0,1,2,34
111,Anthony Davis,F-C,2018-10-23,NOP,LAC,H,W,1,40,11,21,0.524,9,18,0.5,2,3,0.667,10,15,0.667,5,8,13,2,1,5,0,3,34
112,DeMar DeRozan,G-F,2018-11-24,SAS,MIL,A,L,1,35,13,26,0.5,12,24,0.5,1,2,0.5,7,10,0.7,2,2,4,7,1,0,0,0,34
113,DeMar DeRozan,G-F,2018-10-29,SAS,DAL,H,W,1,43,12,21,0.571,12,20,0.6,0,1,0.0,10,10,1.0,1,5,6,9,3,0,2,4,34
114,DeMar DeRozan,G-F,2018-11-15,SAS,LAC,A,L,1,41,14,30,0.467,14,27,0.519,0,3,0.0,6,8,0.75,0,6,6,5,3,1,1,4,34
115,Kevin Durant,F-G,2018-10-28,GSW,BRK,A,W,1,39,11,20,0.55,9,14,0.643,2,6,0.333,10,11,0.909,0,8,8,6,1,1,3,0,34
116,Blake Griffin,F,2018-12-19,DET,MIN,A,W,1,42,13,22,0.591,8,12,0.667,5,10,0.5,3,6,0.5,1,7,8,4,0,1,2,4,34
117,Tim Hardaway,G,2018-11-07,NYK,ATL,A,W,1,37,8,22,0.364,6,11,0.545,2,11,0.182,16,20,0.8,0,1,1,3,3,1,2,1,34
118,James Harden,G,2018-11-17,HOU,SAC,H,W,1,34,10,17,0.588,6,7,0.857,4,10,0.4,10,10,1.0,0,4,4,8,3,0,6,3,34
119,Tobias Harris,F,2018-11-25,LAC,POR,A,W,1,36,14,22,0.636,12,16,0.75,2,6,0.333,4,4,1.0,0,11,11,1,1,0,0,0,34
120,Serge Ibaka,F-C,2018-11-04,TOR,LAL,A,W,1,29,15,17,0.882,14,16,0.875,1,1,1.0,3,3,1.0,3,7,10,2,2,0,1,4,34
121,Zach LaVine,G,2018-10-22,CHI,DAL,A,L,1,37,11,15,0.733,6,8,0.75,5,7,0.714,7,8,0.875,1,2,3,2,2,1,5,3,34
122,Kawhi Leonard,F,2018-12-01,TOR,CLE,A,W,1,37,11,21,0.524,8,12,0.667,3,9,0.333,9,9,1.0,1,8,9,2,1,2,1,2,34
123,Damian Lillard,G,2018-12-11,POR,HOU,A,L,1,39,12,25,0.48,8,18,0.444,4,7,0.571,6,7,0.857,1,1,2,2,0,0,3,3,34
124,Emmanuel Mudiay,G,2018-12-14,NYK,CHO,A,W,1,41,14,21,0.667,13,17,0.765,1,4,0.25,5,6,0.833,1,2,3,8,2,0,3,3,34
125,John Wall,G,2018-12-12,WAS,BOS,H,L,1,41,14,26,0.538,13,21,0.619,1,5,0.2,5,8,0.625,0,6,6,13,2,1,5,1,34
126,LaMarcus Aldridge,F-C,2018-11-23,SAS,IND,A,W,1,37,14,25,0.56,14,24,0.583,0,1,0.0,5,6,0.833,5,9,14,3,0,2,3,2,33
127,Giannis Antetokounmpo,F-G,2018-11-21,MIL,POR,H,W,1,30,13,20,0.65,12,17,0.706,1,3,0.333,6,9,0.667,5,11,16,9,3,0,3,1,33
128,Giannis Antetokounmpo,F-G,2018-12-01,MIL,NYK,A,L,1,42,10,17,0.588,10,16,0.625,0,1,0.0,13,16,0.813,3,16,19,7,3,2,6,2,33
129,Giannis Antetokounmpo,F-G,2018-11-01,MIL,BOS,A,L,1,36,13,22,0.591,13,21,0.619,0,1,0.0,7,11,0.636,2,9,11,2,3,0,4,2,33
130,Reggie Bullock,G-F,2018-12-19,DET,MIN,A,W,1,43,12,21,0.571,5,9,0.556,7,12,0.583,2,2,1.0,0,3,3,1,1,0,0,1,33
131,Jimmy Butler,F-G,2018-10-19,MIN,CLE,H,W,1,36,10,12,0.833,9,11,0.818,1,1,1.0,12,12,1.0,2,5,7,3,4,2,2,0,33
132,Anthony Davis,F-C,2018-11-23,NOP,NYK,A,L,1,32,12,19,0.632,11,18,0.611,1,1,1.0,8,10,0.8,3,8,11,4,0,0,0,3,33
133,Kevin Durant,F-G,2018-11-12,GSW,LAC,A,L,1,39,10,24,0.417,8,20,0.4,2,4,0.5,11,13,0.846,1,10,11,10,1,2,4,6,33
134,Kevin Durant,F-G,2018-12-14,GSW,SAC,A,W,1,37,9,20,0.45,5,12,0.417,4,8,0.5,11,12,0.917,2,6,8,8,0,0,4,1,33
135,Kevin Durant,F-G,2018-11-02,GSW,MIN,H,W,1,36,11,19,0.579,8,14,0.571,3,5,0.6,8,9,0.889,0,13,13,3,0,1,4,2,33
136,Joel Embiid,C,2018-11-19,PHI,PHO,H,W,1,36,12,23,0.522,12,18,0.667,0,5,0.0,9,12,0.75,3,14,17,1,3,1,6,4,33
137,Joel Embiid,C,2018-11-17,PHI,CHO,A,W,1,40,9,23,0.391,7,18,0.389,2,5,0.4,13,14,0.929,2,9,11,3,1,2,4,5,33
138,Joel Embiid,C,2018-10-23,PHI,DET,A,L,1,39,11,20,0.55,11,16,0.688,0,4,0.0,11,14,0.786,1,10,11,7,0,3,1,5,33
139,Joel Embiid,C,2018-12-12,PHI,BRK,H,L,1,38,12,18,0.667,10,15,0.667,2,3,0.667,7,8,0.875,3,14,17,6,1,1,6,5,33
140,Paul George,F,2018-12-15,OKC,LAC,H,W,1,37,11,19,0.579,6,10,0.6,5,9,0.556,6,8,0.75,1,6,7,6,1,1,0,4,33
141,Blake Griffin,F,2018-10-20,DET,CHI,A,W,1,35,12,23,0.522,7,16,0.438,5,7,0.714,4,6,0.667,4,8,12,5,0,1,0,1,33
142,James Harden,G,2018-11-23,HOU,DET,A,L,1,41,9,27,0.333,6,16,0.375,3,11,0.273,12,14,0.857,1,1,2,8,0,1,7,5,33
143,Tobias Harris,F,2018-12-10,LAC,PHO,A,W,1,41,11,19,0.579,9,15,0.6,2,4,0.5,9,9,1.0,1,7,8,3,1,2,4,3,33
144,Kyle Kuzma,F,2018-12-10,LAL,MIA,H,W,1,40,14,22,0.636,11,15,0.733,3,7,0.429,2,2,1.0,1,6,7,1,0,0,3,0,33
145,Zach LaVine,G,2018-10-20,CHI,DET,H,L,1,37,12,21,0.571,10,15,0.667,2,6,0.333,7,9,0.778,0,3,3,3,0,0,2,3,33
146,Damian Lillard,G,2018-12-04,POR,DAL,A,L,1,38,10,23,0.435,8,15,0.533,2,8,0.25,11,12,0.917,2,6,8,8,1,2,6,5,33
147,CJ McCollum,G,2018-11-30,POR,DEN,H,L,1,38,14,21,0.667,14,17,0.824,0,4,0.0,5,5,1.0,1,3,4,1,1,1,3,5,33
148,Derrick Rose,G,2018-12-19,MIN,DET,H,L,1,38,14,29,0.483,13,25,0.52,1,4,0.25,4,4,1.0,0,3,3,7,1,0,2,3,33
149,Giannis Antetokounmpo,F-G,2018-12-17,MIL,DET,A,W,1,31,15,21,0.714,15,18,0.833,0,3,0.0,2,2,1.0,3,9,12,5,0,2,6,5,32
150,Giannis Antetokounmpo,F-G,2018-10-24,MIL,PHI,H,W,1,37,12,24,0.5,12,21,0.571,0,3,0.0,8,9,0.889,3,15,18,10,2,3,5,4,32
151,Kent Bazemore,G-F,2018-10-24,ATL,DAL,H,W,1,33,12,22,0.545,9,11,0.818,3,11,0.273,5,6,0.833,1,2,3,7,3,0,0,4,32
152,Bradley Beal,G,2018-11-26,WAS,HOU,H,W,1,50,12,18,0.667,8,10,0.8,4,8,0.5,4,5,0.8,1,0,1,4,0,2,2,4,32
153,Bradley Beal,G,2018-10-20,WAS,TOR,H,L,1,35,12,21,0.571,6,10,0.6,6,11,0.545,2,4,0.5,0,3,3,6,1,1,1,5,32
154,Jimmy Butler,F-G,2018-10-29,MIN,LAL,H,W,1,37,12,20,0.6,6,13,0.462,6,7,0.857,2,2,1.0,1,5,6,4,1,2,0,1,32
155,Mike Conley,G,2018-11-10,MEM,PHI,H,W,1,42,12,24,0.5,8,14,0.571,4,10,0.4,4,6,0.667,0,4,4,6,2,1,1,3,32
156,Stephen Curry,G,2018-10-16,GSW,OKC,H,W,1,37,11,20,0.55,6,11,0.545,5,9,0.556,5,5,1.0,0,8,8,9,1,0,3,4,32
157,Stephen Curry,G,2018-12-19,GSW,UTA,A,L,1,37,12,21,0.571,7,12,0.583,5,9,0.556,3,3,1.0,1,2,3,3,3,1,4,4,32
158,Anthony Davis,F-C,2018-10-17,NOP,HOU,A,W,1,39,13,21,0.619,13,21,0.619,0,0,,6,7,0.857,2,14,16,8,3,3,1,5,32
159,Anthony Davis,F-C,2018-11-07,NOP,CHI,H,W,1,37,13,24,0.542,11,20,0.55,2,4,0.5,4,7,0.571,2,13,15,7,1,4,4,2,32
