,01-11-2018:teams_800.csv,02-11-2018:teams_800.csv,02-11-2018:teams_1000.csv,03-11-2018:teams_800.csv,03-11-2018:teams_900.csv,04-11-2018:teams_700.csv,04-11-2018:teams_900.csv,05-11-2018:teams_730.csv,05-11-2018:teams_900.csv,05-11-2018:teams_1030.csv,06-11-2018:teams_900.csv,07-11-2018:teams_800.csv,07-11-2018:teams_1000.csv,08-11-2018:teams_1000.csv,09-11-2018:teams_800.csv,09-11-2018:teams_930.csv,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv,03-12-2018:teams_800.csv,04-12-2018:teams_730.csv,04-12-2018:teams_900.csv,06-12-2018:teams_800.csv,06-12-2018:teams_1000.csv,07-12-2018:teams_800.csv,07-12-2018:teams_900.csv,08-12-2018:teams_800.csv,08-12-2018:teams_1000.csv,09-12-2018:teams_700.csv
254,0.0,175.25,137.5,0.0,270.0,136.5,149.0,38.25,240.25,150.25,202.25,236.0,226.0,0.0,168.25,242.75,242.5,233.75,119.5,218.0,261.25,205.25,224.5,0.0,175.0,230.25,181.5,231.0,272.75,214.5,247.25,0.0,184.5,145.0,223.25,178.25,210.0,55.75,239.5,197.75,0.0
255,0.0,253.25,171.75,0.0,224.0,207.0,244.5,38.25,246.25,191.5,183.5,227.25,231.75,0.0,162.5,237.0,202.75,212.25,122.5,271.75,234.0,258.0,183.5,0.0,196.25,204.0,193.25,223.5,272.0,201.5,237.75,0.0,218.5,168.75,193.25,127.75,177.75,55.75,197.0,244.75,0.0
256,0.0,197.5,158.5,0.0,225.5,166.25,242.75,38.25,251.25,167.25,195.25,248.25,283.25,0.0,249.25,230.0,231.25,228.75,141.0,351.5,278.5,201.25,227.5,0.0,134.5,240.0,225.5,188.25,260.75,233.75,257.5,0.0,215.0,198.5,165.0,173.0,170.25,55.75,227.0,252.5,0.0
257,0.0,225.75,177.25,0.0,255.0,189.0,225.25,38.25,225.25,193.25,234.5,219.0,227.25,0.0,250.0,230.0,219.5,185.0,143.5,254.0,217.75,224.0,179.5,0.0,195.0,217.0,196.25,217.5,302.75,243.5,220.25,0.0,217.5,146.0,215.25,195.5,175.25,55.75,197.0,231.5,0.0
258,0.0,226.75,150.75,0.0,261.0,199.25,171.25,38.25,199.25,166.5,205.75,202.25,261.25,0.0,219.25,236.75,199.75,216.75,136.75,245.5,261.25,234.5,144.0,0.0,149.25,219.0,218.5,236.75,232.25,203.25,219.0,0.0,187.0,169.75,199.75,196.75,166.5,55.75,173.5,210.25,0.0
259,0.0,198.25,156.5,0.0,199.0,154.0,207.25,38.25,185.75,138.75,234.25,214.75,220.25,0.0,216.75,257.75,236.5,248.5,148.5,257.0,203.5,235.75,175.5,0.0,198.0,206.25,209.75,269.75,236.25,220.75,205.5,0.0,206.5,147.25,184.5,127.25,162.75,55.75,172.0,265.5,0.0
260,0.0,228.5,152.75,0.0,229.5,159.5,182.25,38.25,205.0,207.5,178.75,219.5,237.0,0.0,262.5,217.75,202.75,190.5,145.75,257.25,192.5,173.5,150.5,0.0,159.5,222.0,209.75,227.5,227.25,201.25,279.5,0.0,234.5,170.25,237.25,156.5,129.5,55.75,219.0,232.25,0.0
261,0.0,259.5,170.5,0.0,206.75,151.25,210.5,38.25,190.25,161.25,243.25,213.5,269.75,0.0,209.25,226.5,214.75,224.5,139.25,346.25,251.25,218.0,170.75,0.0,154.0,234.0,234.25,193.5,267.25,227.25,263.75,0.0,216.25,174.0,205.25,163.25,162.75,55.75,213.75,245.0,0.0
262,0.0,182.5,165.0,0.0,200.0,180.5,183.25,38.25,226.75,179.25,172.25,218.25,233.25,0.0,198.0,213.5,228.0,184.25,135.75,274.25,267.25,194.5,210.5,0.0,195.25,209.0,191.25,216.5,268.0,170.5,257.5,0.0,198.5,192.25,209.75,167.5,161.25,55.75,184.5,253.75,0.0
263,0.0,239.75,186.25,0.0,200.75,172.0,199.75,38.25,204.0,182.75,157.0,206.5,233.75,0.0,211.5,216.0,203.5,228.75,116.25,215.25,179.5,177.5,147.75,0.0,169.75,196.5,230.5,177.25,248.25,244.0,227.25,0.0,174.5,160.0,237.5,180.75,189.5,55.75,154.5,224.0,0.0
