,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
111,319.5,221.25,278.0,251.0,266.25,298.5,313.0,252.0,290.5,258.25,277.75,196.75,234.0,261.75
112,276.0,319.25,261.75,282.0,225.5,284.0,251.5,223.25,231.75,229.25,257.25,214.0,280.5,243.5
113,307.5,207.25,259.25,260.25,258.25,282.0,243.5,244.0,208.75,266.0,304.75,228.5,264.0,198.0
114,318.0,254.25,254.5,269.25,277.5,227.5,243.0,247.0,272.75,253.5,232.5,239.0,198.75,212.75
115,266.0,266.25,277.25,293.5,278.0,255.75,293.75,218.75,328.5,246.0,269.25,255.25,173.75,230.25
116,305.0,252.25,242.75,237.5,225.5,279.0,210.25,221.0,232.25,253.75,267.25,231.0,215.5,208.5
117,288.0,226.25,253.0,250.0,259.0,264.25,248.0,243.75,236.25,243.75,260.5,234.25,181.75,218.5
118,272.25,222.25,277.0,237.0,233.5,282.5,276.25,257.25,307.5,246.25,262.25,263.75,211.75,256.75
119,293.5,259.25,286.25,298.5,212.25,232.75,277.25,232.25,229.75,277.0,201.25,212.25,244.0,247.75
120,323.0,287.0,270.5,268.75,318.75,338.75,249.75,220.25,246.0,291.0,257.0,246.25,237.25,222.0
121,298.5,291.5,251.0,227.0,217.25,317.25,277.0,227.75,217.75,281.75,306.0,241.25,151.0,268.75
122,249.75,278.0,280.25,245.75,257.0,240.75,250.25,214.75,316.25,263.5,252.75,234.75,251.25,233.75
123,306.0,254.25,284.5,312.75,272.75,314.5,286.5,217.5,285.25,301.25,276.5,233.25,256.25,208.5
124,295.0,275.25,246.5,241.0,256.75,292.5,263.5,233.25,337.75,262.75,247.25,232.0,204.75,253.5
125,260.0,270.5,285.75,294.75,259.75,317.25,216.0,212.0,199.0,269.0,259.5,213.75,252.25,233.25
126,256.25,240.0,245.0,237.5,248.75,313.25,322.25,203.25,236.75,256.5,242.5,189.0,188.25,217.5
127,297.75,219.5,261.75,245.5,262.25,267.25,231.75,235.25,252.25,283.0,245.25,202.25,241.25,204.5
128,302.75,244.5,277.5,298.0,259.5,312.25,249.75,225.5,273.0,278.75,274.75,209.75,192.0,228.5
129,281.75,215.75,271.75,233.0,258.75,277.5,254.0,203.25,271.0,258.75,300.25,247.75,186.75,225.25
130,324.25,277.25,286.0,277.0,246.25,341.5,202.75,250.25,287.25,274.25,268.25,231.0,199.5,264.25
131,287.5,269.75,319.0,300.25,236.0,260.5,215.0,248.5,283.75,260.0,238.0,217.75,221.75,227.5
132,341.0,242.75,256.75,273.5,240.75,305.75,248.75,248.25,250.75,277.0,181.5,222.25,211.75,300.75
133,248.0,228.75,273.5,249.5,309.5,290.5,240.5,245.25,218.75,280.25,226.0,215.5,213.0,291.0
134,247.0,243.75,339.5,236.75,232.0,244.25,244.5,225.0,247.5,266.0,251.0,204.75,212.5,242.75
135,292.5,248.5,236.25,235.0,253.5,284.5,249.25,281.5,258.0,249.0,270.25,240.5,204.5,226.0
136,323.25,261.25,268.5,232.75,239.75,294.25,262.5,234.0,244.0,246.75,272.5,229.0,251.75,271.25
137,247.75,219.0,275.75,265.75,225.75,243.25,265.25,229.5,266.5,241.25,260.5,202.0,273.0,202.75
138,273.5,241.25,289.5,250.25,259.0,279.5,332.5,211.5,195.75,275.0,282.0,190.25,187.0,222.75
139,229.0,212.75,243.25,299.75,261.25,275.5,202.75,238.75,224.5,275.5,236.75,237.75,172.0,224.25
140,243.0,236.5,261.0,214.0,268.75,267.75,367.0,244.25,263.0,242.5,218.25,224.25,292.25,212.5
141,298.25,295.5,272.0,259.5,257.5,307.5,248.5,257.25,245.75,226.0,304.75,231.25,207.5,254.5
142,284.25,248.75,256.25,252.5,239.5,256.5,281.75,211.5,227.5,231.75,265.0,287.25,239.25,201.75
143,265.75,260.75,260.0,281.5,258.25,298.25,302.25,249.75,237.5,248.25,292.5,192.25,169.5,199.75
144,323.25,202.0,294.75,285.0,232.0,323.5,269.5,243.5,235.25,265.0,267.0,202.25,212.5,235.0
145,266.25,270.0,281.5,288.5,234.25,282.25,258.0,219.25,165.5,213.75,264.25,221.25,204.5,279.5
146,315.75,319.0,255.5,238.0,296.0,274.0,261.0,254.75,231.75,254.5,264.25,229.75,190.75,221.25
147,258.0,296.5,249.75,236.5,249.25,302.5,222.0,204.25,248.75,268.5,242.25,236.0,204.25,215.75
148,309.5,274.75,266.75,236.0,241.0,213.25,254.5,277.0,310.75,234.5,276.5,246.5,235.0,258.75
149,273.0,315.0,263.5,255.0,239.25,217.75,301.5,204.0,282.5,249.0,261.0,244.0,256.0,205.25
150,318.5,262.5,279.0,246.0,224.5,308.25,227.25,244.25,219.25,262.0,215.75,243.5,216.0,182.0
151,277.75,208.5,233.0,247.0,274.0,304.0,279.5,212.0,229.25,258.0,266.25,257.5,279.25,230.75
152,281.5,256.0,290.25,237.25,236.0,334.5,259.5,221.25,235.0,277.75,269.25,273.5,191.5,226.25
153,291.75,267.25,294.75,266.0,248.5,305.25,326.5,242.0,276.75,257.25,245.25,205.5,286.75,198.5
154,302.0,195.0,247.0,267.5,243.0,272.5,249.25,243.25,268.0,243.25,293.25,242.75,194.5,231.75
155,263.5,242.75,253.75,250.25,229.5,271.5,280.25,223.75,270.0,233.25,240.25,221.25,262.0,277.5
156,281.25,289.75,252.75,277.5,273.5,264.0,261.25,245.75,225.25,227.25,252.0,222.0,179.5,251.25
157,299.0,222.0,297.0,257.75,257.25,326.5,260.5,226.75,306.5,260.25,293.25,255.5,191.0,232.5
158,261.5,255.75,248.0,238.25,262.25,318.25,242.0,229.25,242.0,262.75,265.25,244.5,206.25,268.25
159,324.0,250.0,258.0,289.0,254.75,273.75,311.25,194.0,284.25,236.0,301.5,252.5,235.75,192.0
160,288.0,267.0,247.0,258.75,255.5,269.0,245.0,216.25,272.0,258.75,232.75,251.0,221.5,215.0
161,286.75,228.25,263.25,289.0,278.75,308.25,285.5,229.0,239.75,261.0,236.75,250.5,234.0,228.25
162,296.0,232.0,229.5,276.5,251.5,252.75,276.25,263.75,202.25,247.5,270.0,229.75,238.25,220.5
163,293.0,253.0,252.5,288.75,253.0,290.0,234.5,224.75,224.75,261.5,251.75,241.0,245.75,244.25
164,288.0,257.5,281.75,281.75,253.25,278.75,255.5,218.25,225.0,222.25,221.75,293.5,263.25,252.0
165,281.25,246.25,242.0,248.25,238.25,307.25,222.75,257.75,209.0,220.0,219.5,208.75,207.75,227.5
166,281.25,215.75,306.0,278.5,277.0,235.0,241.25,266.5,252.25,246.0,309.0,252.5,205.5,211.0
167,251.25,269.75,256.5,225.75,262.25,325.25,317.5,199.0,240.25,221.75,226.0,215.5,200.75,267.5
168,292.5,253.75,279.0,231.25,241.75,275.5,210.0,205.75,265.0,233.5,262.25,187.75,190.5,204.25
169,250.5,258.75,263.25,252.0,274.25,305.5,211.5,230.75,248.25,290.75,248.5,234.25,201.0,264.25
170,296.25,244.0,273.0,235.75,280.5,290.25,232.5,238.25,261.75,226.5,257.25,245.25,224.0,267.25
171,263.0,255.75,311.5,272.25,281.0,343.5,303.5,234.75,231.0,253.5,265.5,214.5,249.0,240.0
172,297.0,252.75,274.0,280.0,265.5,269.0,311.0,204.5,198.0,241.25,243.25,221.25,262.25,234.0
173,307.5,295.0,277.5,237.0,234.0,316.75,273.75,224.0,278.75,235.75,246.25,201.5,189.75,259.5
174,262.25,254.5,278.75,275.75,243.75,316.25,257.5,230.25,251.5,251.5,266.0,256.0,222.0,234.75
175,283.5,224.25,301.25,207.0,228.5,274.5,322.0,236.25,291.75,288.0,228.5,229.0,268.25,264.75
176,328.0,280.75,280.0,205.5,266.0,342.5,258.5,223.75,225.75,297.75,232.5,187.75,185.0,271.75
177,316.5,294.25,248.25,242.5,249.5,277.75,273.25,220.75,243.25,250.0,295.75,268.5,180.5,247.5
178,312.5,265.75,243.5,205.5,255.5,286.5,298.0,268.75,323.0,264.25,289.5,244.0,188.75,218.25
179,283.75,233.25,270.25,242.5,265.0,320.25,242.25,229.75,300.0,269.5,260.5,251.25,211.75,213.25
180,216.25,243.25,253.5,255.0,248.5,314.25,238.5,220.75,318.75,278.25,257.75,241.0,206.75,232.0
181,284.75,244.75,281.0,260.5,249.5,257.25,263.5,195.25,236.75,244.75,257.0,234.0,270.75,217.0
182,267.75,260.75,295.25,231.75,269.75,310.5,224.5,242.0,248.75,237.75,278.0,212.5,208.25,249.75
183,281.0,244.75,269.5,194.25,260.75,289.25,292.0,221.75,289.0,305.5,244.0,220.5,202.75,298.25
184,250.5,222.25,240.5,235.25,220.5,319.75,279.25,190.25,277.5,310.0,250.0,211.5,228.0,226.25
185,270.0,244.25,268.5,246.25,248.75,276.25,301.25,185.5,205.25,255.25,254.75,226.5,225.0,236.25
186,276.5,238.0,291.5,233.75,236.0,276.75,321.25,261.75,259.75,251.5,283.5,237.25,216.75,291.0
187,288.25,249.75,254.25,278.75,254.5,275.75,279.0,214.5,294.0,282.75,222.0,214.75,216.75,210.75
188,317.5,240.25,293.0,258.0,253.5,279.75,250.75,231.0,214.75,243.0,254.0,238.25,298.25,243.0
189,273.5,246.5,245.25,214.5,226.25,278.0,305.75,215.5,230.5,287.5,210.75,207.25,236.75,277.0
190,309.0,230.25,299.75,288.0,278.0,270.25,268.75,202.0,275.0,278.5,254.0,223.0,242.0,209.0
191,318.75,263.5,278.75,261.0,275.75,252.75,309.5,255.75,346.25,238.5,307.0,202.75,274.25,228.75
