,01-11-2018:teams_800.csv,02-11-2018:teams_800.csv,02-11-2018:teams_1000.csv,03-11-2018:teams_800.csv,03-11-2018:teams_900.csv,04-11-2018:teams_700.csv,04-11-2018:teams_900.csv,05-11-2018:teams_730.csv,05-11-2018:teams_900.csv,05-11-2018:teams_1030.csv,06-11-2018:teams_900.csv,07-11-2018:teams_800.csv,07-11-2018:teams_1000.csv,08-11-2018:teams_1000.csv,09-11-2018:teams_800.csv,09-11-2018:teams_930.csv,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv,03-12-2018:teams_800.csv,04-12-2018:teams_730.csv,04-12-2018:teams_900.csv,06-12-2018:teams_800.csv,06-12-2018:teams_1000.csv,07-12-2018:teams_800.csv,07-12-2018:teams_900.csv,08-12-2018:teams_800.csv,08-12-2018:teams_1000.csv,09-12-2018:teams_700.csv
181,151.5,201.25,210.0,0.0,220.25,191.0,209.25,38.25,214.25,182.75,221.0,201.0,246.5,151.5,243.25,214.75,226.0,230.25,152.0,248.5,205.25,231.0,225.0,0.0,145.25,261.25,209.0,220.5,267.5,248.25,236.75,157.25,249.25,180.25,177.5,184.75,199.0,55.75,225.0,247.0,50.5
182,210.0,208.5,184.5,0.0,216.5,178.5,180.25,38.25,194.0,188.75,208.25,229.0,252.0,169.0,196.0,223.25,249.5,192.25,185.5,285.5,248.5,253.75,224.25,0.0,217.25,209.25,189.5,275.75,249.75,260.5,238.5,188.5,219.25,184.0,202.0,183.0,205.5,55.75,212.25,219.25,50.5
183,193.0,238.5,223.0,0.0,214.25,213.25,208.0,38.25,250.25,182.5,204.25,189.5,178.5,158.75,244.0,269.0,242.5,257.75,158.0,295.5,193.5,240.0,239.0,0.0,227.5,260.5,199.25,249.75,262.5,224.25,287.5,152.5,201.5,166.75,210.75,146.25,180.5,55.75,154.5,229.0,50.5
184,204.5,219.25,146.25,0.0,222.0,180.0,208.0,38.25,237.0,194.5,210.25,224.0,201.25,165.5,193.0,234.75,223.75,180.5,105.5,274.0,270.5,243.5,240.5,0.0,198.25,242.5,187.75,257.0,224.5,232.75,234.25,153.5,226.5,197.0,187.75,156.75,195.75,55.75,166.75,265.0,50.5
185,205.0,199.0,186.75,0.0,220.5,185.75,193.75,38.25,192.0,211.25,170.75,210.0,250.0,162.0,231.0,269.75,249.25,267.25,123.25,290.25,209.0,231.5,203.0,0.0,174.75,210.75,212.75,240.25,278.0,231.0,235.25,174.5,224.75,208.5,161.0,129.0,235.0,55.75,160.25,235.0,50.5
186,176.0,213.0,173.0,0.0,215.0,188.5,245.0,38.25,248.25,189.5,278.75,234.75,223.75,148.5,223.5,220.0,197.25,185.75,172.75,280.25,260.0,218.75,191.5,0.0,196.25,250.0,191.5,182.25,257.75,213.0,245.5,179.5,258.25,210.0,211.0,132.25,247.25,55.75,161.25,263.0,50.5
187,192.25,213.75,195.5,0.0,229.0,194.25,185.75,38.25,207.25,195.0,214.25,256.5,255.25,151.5,231.5,266.5,257.75,204.5,144.25,332.25,249.75,234.75,205.5,0.0,185.25,266.25,195.75,257.5,273.75,229.5,268.0,142.25,255.5,192.25,192.5,202.5,206.75,55.75,193.75,233.5,50.5
188,170.75,221.0,179.5,0.0,249.25,139.0,219.0,38.25,215.5,181.75,203.5,229.5,255.0,140.75,229.5,248.25,238.75,217.0,154.5,323.0,296.25,190.0,237.75,0.0,186.75,224.75,190.25,285.0,268.25,207.5,225.0,203.0,211.25,177.5,124.5,224.75,172.5,55.75,169.5,234.5,50.5
189,210.25,200.75,163.75,0.0,221.5,175.5,257.75,38.25,211.5,207.75,207.75,229.25,246.5,142.75,211.75,226.75,252.0,286.75,165.25,317.75,241.75,214.75,196.25,0.0,199.25,238.0,245.0,191.5,257.25,257.5,212.0,184.0,216.0,213.5,160.25,149.0,214.25,55.75,149.0,252.0,50.5
190,205.5,221.25,181.5,0.0,242.25,190.25,197.5,38.25,214.75,187.75,228.25,235.0,210.75,134.5,238.75,226.5,220.0,213.25,143.0,256.25,281.5,226.75,243.5,0.0,176.5,232.5,209.75,221.75,260.75,211.0,245.5,133.5,236.25,172.0,223.25,216.5,201.5,55.75,217.5,268.75,50.5
191,185.5,255.5,159.25,0.0,239.5,168.75,241.25,38.25,204.75,166.25,235.0,258.0,240.25,151.0,223.0,248.5,185.5,174.25,174.75,270.75,224.5,205.75,212.25,0.0,177.25,239.5,240.5,204.75,256.0,232.0,261.25,149.75,229.5,175.25,231.5,161.75,201.25,55.75,170.75,249.0,50.5
192,190.5,230.25,172.5,0.0,253.0,221.5,246.5,38.25,211.0,213.75,221.25,223.5,216.25,159.5,208.0,216.25,193.75,230.0,160.25,313.5,244.25,230.5,235.25,0.0,182.75,205.25,196.25,268.25,241.5,274.0,254.0,178.75,225.25,191.0,172.75,214.0,168.25,55.75,133.75,227.5,50.5
193,206.75,249.5,171.75,0.0,231.25,173.5,173.0,38.25,206.25,154.75,202.25,267.5,200.5,171.75,256.25,256.25,177.5,241.75,164.5,269.0,230.25,292.0,206.25,0.0,197.5,231.5,229.5,229.75,254.5,255.5,223.25,169.25,234.75,205.25,170.0,158.75,148.75,55.75,206.0,281.25,50.5
194,167.0,243.25,172.25,0.0,242.0,195.5,268.75,38.25,223.5,196.25,198.5,168.0,219.75,151.25,256.5,245.5,239.25,208.75,127.5,294.75,248.75,239.25,173.5,0.0,206.75,205.5,198.0,269.5,254.75,224.75,208.75,149.5,219.5,186.75,181.0,205.75,245.75,55.75,130.75,210.25,50.5
195,159.75,222.75,159.0,0.0,215.25,196.5,190.5,38.25,231.5,162.5,168.25,275.5,239.75,149.75,214.25,251.0,222.25,241.5,171.5,320.75,259.75,234.25,218.25,0.0,237.25,251.0,247.75,284.0,252.75,241.25,229.0,180.75,250.5,179.75,214.75,146.75,186.75,55.75,133.25,269.25,50.5
196,184.0,230.0,180.5,0.0,189.25,150.75,194.0,38.25,187.25,178.75,160.0,212.5,197.75,159.75,239.75,218.75,209.75,243.25,144.75,285.75,246.25,235.0,261.0,0.0,178.5,228.0,243.0,193.0,260.75,232.5,261.25,148.25,209.5,185.25,192.25,161.0,204.5,55.75,208.75,251.5,50.5
197,198.25,211.25,153.5,0.0,211.5,203.5,191.5,38.25,208.25,186.5,226.75,229.25,256.5,145.75,245.75,216.75,204.0,221.0,163.75,295.75,244.0,267.0,221.0,0.0,232.0,242.25,243.5,229.25,226.0,207.5,232.5,177.75,215.5,172.5,189.25,223.0,215.0,55.75,193.0,257.75,50.5
198,179.5,212.5,173.5,0.0,214.25,161.25,196.75,38.25,252.0,194.25,219.0,217.75,270.0,132.25,234.25,229.0,218.5,261.75,139.25,255.5,233.25,212.0,193.75,0.0,175.25,233.0,205.0,222.75,256.5,231.0,242.0,177.5,235.5,190.0,227.0,158.0,222.5,55.75,166.5,223.0,50.5
199,172.5,220.0,193.75,0.0,201.0,206.0,209.75,38.25,255.25,166.5,222.25,228.0,272.25,130.25,201.75,237.0,255.5,219.75,153.5,257.75,215.75,219.0,186.25,0.0,125.75,210.25,187.25,190.5,278.0,214.25,219.75,156.0,214.5,193.25,222.75,155.5,251.25,55.75,180.75,262.25,50.5
200,209.0,194.25,199.5,0.0,227.75,161.5,224.5,38.25,176.5,187.0,171.25,197.75,234.75,129.25,233.25,237.75,230.25,205.0,141.0,298.5,228.75,256.25,140.0,0.0,184.0,248.5,243.5,194.75,251.75,248.0,252.0,166.75,207.0,170.5,235.5,190.0,167.5,55.75,168.5,213.0,50.5
201,214.0,243.5,197.25,0.0,252.0,136.75,223.5,38.25,240.25,189.75,265.5,181.75,202.0,170.0,189.75,282.0,234.25,211.5,161.5,228.0,259.5,242.0,215.25,0.0,170.75,244.75,188.0,226.75,258.75,255.5,215.25,135.75,219.75,220.5,202.25,187.75,222.25,55.75,172.5,241.75,50.5
202,196.0,275.0,160.5,0.0,221.5,179.0,236.25,38.25,241.0,146.75,201.5,189.5,231.25,137.5,196.0,241.75,201.5,242.75,131.75,212.0,247.0,235.75,247.0,0.0,190.75,226.0,187.25,243.5,258.25,229.5,268.75,172.5,231.5,163.25,273.25,184.0,176.75,55.75,153.75,240.75,50.5
203,184.25,255.5,165.0,0.0,250.75,158.25,166.0,38.25,224.75,196.25,176.75,246.75,232.25,124.0,249.25,266.0,232.75,221.0,146.75,241.0,256.0,222.5,280.25,0.0,167.25,251.0,209.0,233.75,270.0,251.75,236.5,152.25,238.0,187.0,194.25,183.0,169.25,55.75,156.25,195.0,50.5
