,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv
59,0.0,0.0,289.0,0.0,225.5,271.25,0.0
60,229.0,0.0,0.0,0.0,245.5,0.0,0.0
61,226.5,0.0,0.0,0.0,234.75,0.0,226.25
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,223.5
64,256.75,0.0,320.5,288.25,0.0,0.0,249.0
65,0.0,219.75,0.0,0.0,0.0,280.5,224.25
66,0.0,0.0,0.0,305.5,247.75,297.25,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,263.75
68,255.25,0.0,0.0,229.5,297.0,0.0,0.0
69,295.5,0.0,0.0,0.0,221.0,0.0,0.0
70,268.5,228.5,307.75,296.0,251.75,318.25,267.75
71,0.0,0.0,0.0,305.25,219.5,0.0,0.0
72,254.75,237.0,0.0,277.75,0.0,0.0,219.0
73,0.0,257.25,0.0,0.0,0.0,0.0,0.0
74,286.5,0.0,0.0,0.0,258.5,0.0,249.75
75,0.0,269.25,0.0,0.0,0.0,0.0,243.0
76,0.0,241.25,0.0,331.5,242.75,295.25,268.25
77,0.0,0.0,289.0,0.0,313.0,309.0,0.0
78,0.0,284.5,281.5,0.0,0.0,252.0,249.25
79,0.0,205.75,0.0,0.0,275.5,335.0,0.0
80,232.0,0.0,308.5,0.0,272.75,0.0,0.0
81,0.0,0.0,0.0,229.5,248.5,0.0,240.25
82,225.5,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,219.75,291.0,0.0,260.75,0.0,0.0
84,277.25,0.0,0.0,0.0,276.0,0.0,0.0
85,0.0,0.0,0.0,318.0,234.5,289.5,230.0
86,284.25,0.0,0.0,311.25,203.25,287.5,216.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,230.5,0.0,325.0,287.5,226.75,0.0,0.0
89,250.0,264.5,0.0,286.0,216.25,0.0,0.0
90,0.0,0.0,0.0,0.0,261.75,0.0,220.5
91,267.0,280.0,289.25,273.5,266.25,287.75,0.0
92,0.0,267.25,248.5,0.0,258.0,0.0,295.5
93,0.0,0.0,0.0,274.25,213.25,252.25,0.0
94,252.25,0.0,0.0,0.0,0.0,0.0,0.0
95,218.75,0.0,0.0,0.0,0.0,268.25,278.5
96,0.0,241.0,0.0,264.5,257.25,0.0,0.0
97,0.0,0.0,269.25,0.0,210.5,279.0,301.25
98,0.0,0.0,0.0,327.0,253.5,0.0,240.75
99,222.5,246.75,0.0,272.25,0.0,263.75,0.0
