,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
48,292.75,275.5,233.0,246.75,264.0,274.5,239.5,274.5,291.5,300.0,245.0,278.25,290.25,312.5,272.75,252.5,277.75,253.75,305.75,217.75,255.5,287.25,316.5,262.0,259.75,234.25,301.0,214.25,190.0,249.0
49,257.5,255.0,182.75,281.25,244.75,303.0,273.5,277.75,240.5,277.5,239.5,297.0,281.25,294.25,259.25,269.25,278.0,256.5,281.25,230.0,262.25,272.25,296.0,234.25,234.5,228.25,251.25,219.0,271.25,275.5
50,206.0,277.5,210.5,295.0,262.25,253.75,245.25,265.5,266.0,303.25,246.75,290.75,308.25,314.5,246.25,259.75,272.5,218.75,323.75,246.0,241.5,280.25,284.25,247.25,279.75,228.25,244.75,216.25,209.5,262.5
51,232.0,272.5,152.75,286.75,278.5,259.5,278.75,265.25,254.5,298.0,248.75,258.25,267.75,334.75,225.5,273.5,296.0,234.0,287.5,229.0,225.0,288.75,272.25,255.5,229.0,242.0,317.25,201.25,243.25,241.75
52,325.0,282.5,218.75,280.75,263.0,268.25,242.75,295.5,277.24,286.25,213.25,258.0,286.5,311.5,287.0,286.0,323.5,260.5,310.5,263.75,242.0,357.5,285.5,242.5,222.5,257.0,292.75,219.25,314.25,242.0
53,266.5,285.0,226.25,285.75,273.0,266.5,255.25,320.5,223.0,306.75,222.25,270.5,273.0,282.25,224.75,277.0,334.5,239.25,317.5,242.5,235.5,300.25,285.5,241.0,234.75,242.25,301.25,224.0,277.75,233.75
54,261.0,296.25,211.25,280.0,254.25,288.25,238.25,288.75,238.5,291.0,255.5,272.25,271.25,350.0,258.75,276.25,328.75,226.5,334.75,257.0,241.25,265.75,296.5,287.75,263.5,247.5,272.75,204.5,243.75,274.5
55,287.0,265.75,191.5,293.25,281.75,255.25,277.25,269.25,242.75,306.75,246.5,284.75,303.75,305.0,250.75,274.75,283.25,243.5,336.75,245.75,256.0,269.75,271.5,231.0,272.75,237.5,321.75,199.5,246.0,253.5
56,278.0,289.75,218.25,251.5,275.5,278.0,259.75,293.5,286.25,295.0,262.0,276.75,294.5,340.5,314.0,260.5,306.75,242.75,300.0,263.5,252.0,313.0,252.0,267.0,203.5,228.0,295.25,248.0,246.25,274.75
57,270.75,292.0,206.25,240.5,271.25,227.75,264.0,287.25,237.25,291.75,222.0,289.25,266.0,301.75,277.0,251.75,297.25,226.5,300.25,225.25,252.5,323.75,285.0,248.25,195.75,228.5,261.25,197.75,273.75,212.25
58,296.75,283.5,200.5,311.25,250.0,288.25,225.5,334.0,276.5,295.75,233.75,303.75,308.75,299.25,258.25,289.0,334.75,224.75,308.25,253.25,236.0,282.75,284.75,252.5,211.25,222.25,277.5,226.75,312.25,242.75
59,244.0,289.25,162.25,227.0,259.5,238.5,236.75,307.25,237.0,267.25,246.0,281.0,301.0,344.5,254.5,265.5,289.0,246.0,306.0,229.25,270.75,302.25,249.0,272.75,269.5,227.5,282.25,241.25,293.25,219.25
60,258.5,267.25,214.0,245.75,283.0,280.5,228.25,270.5,273.0,298.0,208.25,321.25,338.75,299.25,297.0,269.75,286.0,242.25,328.5,275.75,257.5,306.25,271.75,239.0,252.75,247.25,282.75,236.0,276.25,253.75
61,223.75,249.25,221.5,247.0,258.25,280.75,252.75,303.75,264.25,328.0,253.25,272.25,285.5,321.75,274.25,280.75,285.5,278.75,292.75,278.75,253.5,306.75,295.75,250.0,275.0,242.25,284.25,244.25,236.0,262.5
62,254.0,318.0,231.75,264.25,254.75,283.75,275.5,287.0,252.75,294.0,272.25,271.5,292.25,303.5,255.5,294.5,309.75,216.0,285.0,247.75,246.5,322.75,310.25,226.75,212.0,224.75,291.75,251.0,269.25,261.25
63,249.75,279.25,182.25,256.0,263.25,247.25,242.5,304.0,271.5,310.75,245.5,281.25,273.5,309.5,274.5,315.75,312.75,242.0,288.0,235.75,267.0,281.75,282.5,226.0,258.75,226.75,303.5,218.5,258.25,242.5
