,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
152,296.25,274.25,179.75,270.25,266.75,275.75,245.25,301.0,269.0,283.5,246.25,273.0,275.0,313.5,256.25,269.0,299.25,246.25,307.25,234.5,258.5,246.0,274.25,242.0,263.75,221.5,271.0,208.0,241.5,265.5
153,260.5,282.25,196.75,297.25,254.5,259.75,241.0,243.0,256.0,291.0,232.0,283.25,291.5,329.5,223.5,226.5,253.0,212.75,293.0,262.75,222.0,272.75,247.5,246.25,211.0,234.0,232.0,221.5,249.0,231.5
154,255.5,278.75,192.75,248.25,235.25,303.0,248.25,270.5,261.25,263.5,204.25,276.25,291.0,345.5,227.25,277.25,286.0,228.25,270.0,250.75,239.0,279.25,279.0,266.25,223.75,231.5,271.5,228.75,266.5,220.75
155,273.0,257.0,207.0,240.5,265.0,271.75,277.25,310.5,227.74,289.5,231.5,267.5,267.75,324.25,277.75,282.25,286.5,281.75,318.0,242.0,255.5,275.25,280.0,247.5,253.5,232.25,293.0,242.25,309.25,243.0
156,293.0,290.75,190.75,284.5,230.5,293.5,260.0,276.75,238.5,277.0,239.0,294.5,279.75,342.25,202.5,278.0,282.75,267.75,277.0,262.75,269.0,323.75,279.0,257.0,226.75,254.75,262.0,185.0,307.75,220.75
157,248.75,238.25,165.25,240.0,257.5,283.0,255.25,256.75,229.0,257.25,239.25,279.5,264.0,322.25,251.0,235.25,284.0,266.75,283.5,255.5,257.5,289.0,265.5,281.25,249.0,227.0,267.25,221.0,296.5,256.5
158,288.5,281.5,197.0,266.75,243.5,296.25,258.0,280.0,221.0,263.25,231.25,263.5,256.75,335.75,270.5,252.0,319.5,222.75,293.75,257.5,260.5,304.25,335.25,242.75,258.0,243.0,275.5,204.0,267.0,245.0
159,298.25,270.25,161.25,310.25,225.75,286.25,281.25,265.25,268.75,291.75,257.25,309.25,270.75,328.25,275.25,270.75,263.0,224.75,323.75,242.75,258.75,285.0,313.75,252.0,236.25,224.75,267.75,245.75,290.25,249.0
160,218.5,262.75,142.5,318.5,222.75,281.0,277.0,269.5,264.75,268.25,246.25,272.5,275.75,325.25,246.25,242.5,278.25,242.75,292.5,258.25,230.5,300.5,248.25,229.25,267.5,215.25,258.0,186.0,274.75,237.0
161,235.75,303.25,191.5,239.0,221.75,275.5,262.75,265.5,299.0,273.75,295.75,298.25,292.0,303.25,222.5,297.25,296.75,231.0,283.75,230.25,241.25,297.5,324.25,264.75,249.5,217.0,300.25,226.5,273.25,242.5
