,21-11-2018:teams_700.csv,21-11-2018:teams_800.csv,21-11-2018:teams_900.csv,23-11-2018:teams_700.csv,23-11-2018:teams_800.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_730.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_600.csv,25-11-2018:teams_800.csv,26-11-2018:teams_700.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv
72,268.5,262.25,262.0,221.75,229.75,224.75,230.5,282.25,242.75,292.75,291.0,333.25,186.5,293.25,310.25,198.5
73,305.25,241.25,285.0,231.5,224.0,227.75,252.0,266.25,302.0,276.5,290.5,285.25,220.0,257.75,260.5,193.75
74,274.5,250.75,296.75,277.75,256.0,237.5,223.5,327.25,226.5,272.0,312.0,305.75,240.0,315.0,293.75,204.0
75,311.5,248.5,315.5,211.75,244.0,262.5,209.0,249.5,278.0,261.0,260.5,293.25,213.25,306.0,257.25,211.25
76,297.0,232.25,300.75,202.75,241.75,247.25,234.25,319.0,277.75,311.5,290.5,261.0,255.0,290.25,263.0,236.0
77,279.75,266.25,291.5,246.5,241.5,243.5,196.5,331.0,234.0,310.0,259.0,287.0,209.0,335.5,273.0,219.25
78,262.5,238.5,283.5,222.5,217.25,243.0,220.75,278.25,301.5,282.25,263.0,270.5,227.5,329.5,256.5,187.25
79,278.5,246.5,314.5,269.5,252.75,284.75,206.0,285.5,301.5,242.5,281.5,245.25,221.25,283.75,277.0,190.5
80,269.0,268.0,271.25,244.75,284.25,246.5,228.25,247.0,299.0,272.25,265.25,300.75,246.5,266.25,269.75,224.75
81,272.25,289.0,283.0,250.25,233.75,241.75,215.75,270.0,284.25,296.5,278.75,295.5,250.5,273.25,268.5,194.0
82,285.75,250.0,270.5,236.0,223.75,244.25,215.0,266.5,258.0,306.0,298.5,280.25,245.5,279.5,285.5,208.0
83,289.75,276.75,306.5,194.5,250.5,270.5,200.75,260.5,258.75,268.75,262.5,240.0,205.25,286.25,289.5,191.75
84,271.5,261.5,280.5,213.0,223.75,260.25,226.5,261.25,280.25,281.5,276.5,314.75,210.25,283.75,239.75,227.5
85,324.75,255.0,265.75,215.5,263.25,227.0,231.75,292.25,285.25,268.0,287.25,270.25,219.25,329.5,273.0,221.25
86,290.25,251.75,299.0,236.5,272.0,227.75,229.75,247.25,286.75,270.5,260.75,213.25,175.0,262.25,266.75,210.75
87,268.5,248.25,284.25,265.25,246.25,240.5,219.25,314.75,283.5,306.5,269.0,273.0,263.5,338.75,260.75,216.25
88,295.75,246.75,305.0,204.75,226.25,252.0,253.5,285.5,239.25,311.5,261.5,252.0,252.75,311.0,248.5,214.75
89,284.5,254.75,286.5,234.25,236.25,226.0,199.5,294.0,244.75,253.5,284.0,291.5,197.5,247.0,279.0,210.0
90,244.5,245.5,279.75,213.5,254.75,267.5,224.5,304.75,280.75,290.0,285.25,233.0,240.0,262.0,255.25,195.25
91,267.25,221.0,265.0,243.5,238.5,247.0,212.25,292.0,253.0,247.75,279.25,235.0,218.75,257.5,274.5,199.5
92,307.5,224.25,285.75,224.0,242.75,250.25,213.0,329.25,253.25,264.5,280.5,231.0,206.75,302.75,291.75,237.5
93,272.75,239.75,304.25,268.75,228.5,251.5,223.25,265.75,246.5,330.5,315.25,256.25,209.75,307.0,286.5,218.0
94,261.0,254.0,280.0,251.5,245.0,214.25,198.5,284.5,217.75,306.5,275.75,278.25,188.0,306.5,274.75,218.0
95,292.0,235.75,277.0,251.25,254.0,237.5,186.0,250.25,247.5,283.0,277.25,316.5,238.0,300.5,242.0,198.75
96,262.0,235.5,262.25,260.0,258.75,246.0,200.75,288.0,289.75,317.0,269.0,253.25,232.0,309.0,275.25,184.0
97,312.25,223.5,291.25,237.75,264.5,249.0,226.0,271.75,250.5,268.25,282.25,248.0,200.25,330.75,270.0,208.75
98,256.0,262.75,310.0,228.75,237.25,228.5,236.75,251.0,306.75,262.75,273.75,272.0,207.75,261.0,286.75,192.0
99,280.5,259.75,309.25,248.5,218.0,248.5,210.25,303.0,284.25,282.5,260.0,281.75,252.0,333.0,238.75,196.25
