PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SF/PF,Derrick Jones Jr. (11848900),Derrick Jones Jr.,11848900,SF/PF/F/UTIL,5100,MIA@ORL 12/23/2018 06:00PM ET,MIA,15.82
,,,,,,,,,PG/SG,J.J. Barea (11848916),J.J. Barea,11848916,PG/SG/G/UTIL,5000,DAL@POR 12/23/2018 09:00PM ET,DAL,24.01
,,,,,,,,,PF,Dario Saric (11848908),Dario Saric,11848908,PF/F/UTIL,5000,MIN@OKC 12/23/2018 08:00PM ET,MIN,23.09
,,,,,,,,,SG/SF,Bogdan Bogdanovic (11848911),Bogdan Bogdanovic,11848911,SG/SF/F/G/UTIL,5000,NO@SAC 12/23/2018 06:00PM ET,SAC,26.32
,,,,,,,,,SG/SF,Kelly Oubre Jr. (11848924),Kelly Oubre Jr.,11848924,SG/SF/F/G/UTIL,4900,PHO@BKN 12/23/2018 06:00PM ET,PHO,23.27
,,,,,,,,,SF/PF,Nemanja Bjelica (11848920),Nemanja Bjelica,11848920,SF/PF/F/UTIL,4900,NO@SAC 12/23/2018 06:00PM ET,SAC,24.62
,,,,,,,,,PG/SF,Kyle Anderson (11848932),Kyle Anderson,11848932,PG/SF/F/G/UTIL,4800,MEM@LAL 12/23/2018 09:30PM ET,MEM,22.88
,,,,,,,,,C,JaVale McGee (11848942),JaVale McGee,11848942,C/UTIL,4800,MEM@LAL 12/23/2018 09:30PM ET,LAL,27.37
,,,,,,,,,PG,Rajon Rondo (11848957),Rajon Rondo,11848957,PG/G/UTIL,4800,MEM@LAL 12/23/2018 09:30PM ET,LAL,25.83
,,,,,,,,,PG,Collin Sexton (11848929),Collin Sexton,11848929,PG/G/UTIL,4800,CHI@CLE 12/23/2018 06:00PM ET,CLE,23.03
,,,,,,,,,PF/C,Wendell Carter Jr. (11848949),Wendell Carter Jr.,11848949,PF/C/F/UTIL,4800,CHI@CLE 12/23/2018 06:00PM ET,CHI,25.21
,,,,,,,,,PG/SF,Justise Winslow (11848944),Justise Winslow,11848944,PG/SF/F/G/UTIL,4800,MIA@ORL 12/23/2018 06:00PM ET,MIA,24.22
,,,,,,,,,SG/SF,Joe Harris (11848937),Joe Harris,11848937,SG/SF/F/G/UTIL,4800,PHO@BKN 12/23/2018 06:00PM ET,BKN,23.35
,,,,,,,,,PG/SG,Marcus Smart (11848953),Marcus Smart,11848953,PG/SG/G/UTIL,4800,CHA@BOS 12/23/2018 06:00PM ET,BOS,21.51
,,,,,,,,,SF/PF,Josh Jackson (11848965),Josh Jackson,11848965,SF/PF/F/UTIL,4700,PHO@BKN 12/23/2018 06:00PM ET,PHO,19.25
,,,,,,,,,PG/SG,Shai Gilgeous-Alexander (11848969),Shai Gilgeous-Alexander,11848969,PG/SG/G/UTIL,4700,LAC@GS 12/23/2018 08:30PM ET,LAC,21.73
,,,,,,,,,SG/SF,Jaylen Brown (11848960),Jaylen Brown,11848960,SG/SF/F/G/UTIL,4700,CHA@BOS 12/23/2018 06:00PM ET,BOS,21.76
,,,,,,,,,PF/C,Kelly Olynyk (11848973),Kelly Olynyk,11848973,PF/C/F/UTIL,4600,MIA@ORL 12/23/2018 06:00PM ET,MIA,20.93
,,,,,,,,,C,Cody Zeller (11848977),Cody Zeller,11848977,C/UTIL,4600,CHA@BOS 12/23/2018 06:00PM ET,CHA,22.52
,,,,,,,,,PF/C,Bam Adebayo (11848989),Bam Adebayo,11848989,PF/C/F/UTIL,4500,MIA@ORL 12/23/2018 06:00PM ET,MIA,22.25
,,,,,,,,,SG/SF,Allen Crabbe (11848984),Allen Crabbe,11848984,SG/SF/F/G/UTIL,4500,PHO@BKN 12/23/2018 06:00PM ET,BKN,17.78
,,,,,,,,,PF,Jerami Grant (11848993),Jerami Grant,11848993,PF/F/UTIL,4500,MIN@OKC 12/23/2018 08:00PM ET,OKC,23.60
,,,,,,,,,SG/SF,E'Twaun Moore (11848979),E'Twaun Moore,11848979,SG/SF/F/G/UTIL,4500,NO@SAC 12/23/2018 06:00PM ET,NO,21.85
,,,,,,,,,PG/SG,Alec Burks (11848996),Alec Burks,11848996,PG/SG/G/UTIL,4400,CHI@CLE 12/23/2018 06:00PM ET,CLE,17.9
,,,,,,,,,SG/SF,Rodney Hood (11849004),Rodney Hood,11849004,SG/SF/F/G/UTIL,4400,CHI@CLE 12/23/2018 06:00PM ET,CLE,21.09
,,,,,,,,,SG/SF,Terrence Ross (11849014),Terrence Ross,11849014,SG/SF/F/G/UTIL,4400,MIA@ORL 12/23/2018 06:00PM ET,ORL,22.36
,,,,,,,,,SF/PF,Al-Farouq Aminu (11849000),Al-Farouq Aminu,11849000,SF/PF/F/UTIL,4400,DAL@POR 12/23/2018 09:00PM ET,POR,23.09
,,,,,,,,,SG/SF,Nicolas Batum (11849009),Nicolas Batum,11849009,SG/SF/F/G/UTIL,4400,CHA@BOS 12/23/2018 06:00PM ET,CHA,22.94
