,21-11-2018;teams_700.csv;Ceiling,21-11-2018;teams_700.csv;Points,21-11-2018;teams_700.csv;Floor,21-11-2018;teams_800.csv;Ceiling,21-11-2018;teams_800.csv;Points,21-11-2018;teams_800.csv;Floor,21-11-2018;teams_900.csv;Ceiling,21-11-2018;teams_900.csv;Points,21-11-2018;teams_900.csv;Floor,23-11-2018;teams_700.csv;Ceiling,23-11-2018;teams_700.csv;Points,23-11-2018;teams_700.csv;Floor,23-11-2018;teams_800.csv;Ceiling,23-11-2018;teams_800.csv;Points,23-11-2018;teams_800.csv;Floor,23-11-2018;teams_1200.csv;Ceiling,23-11-2018;teams_1200.csv;Points,23-11-2018;teams_1200.csv;Floor,23-11-2018;teams_1030.csv;Ceiling,23-11-2018;teams_1030.csv;Points,23-11-2018;teams_1030.csv;Floor,24-11-2018;teams_730.csv;Ceiling,24-11-2018;teams_730.csv;Points,24-11-2018;teams_730.csv;Floor,24-11-2018;teams_800.csv;Ceiling,24-11-2018;teams_800.csv;Points,24-11-2018;teams_800.csv;Floor,24-11-2018;teams_830.csv;Ceiling,24-11-2018;teams_830.csv;Points,24-11-2018;teams_830.csv;Floor,25-11-2018;teams_330.csv;Ceiling,25-11-2018;teams_330.csv;Points,25-11-2018;teams_330.csv;Floor,25-11-2018;teams_600.csv;Ceiling,25-11-2018;teams_600.csv;Points,25-11-2018;teams_600.csv;Floor,25-11-2018;teams_800.csv;Ceiling,25-11-2018;teams_800.csv;Points,25-11-2018;teams_800.csv;Floor,26-11-2018;teams_700.csv;Ceiling,26-11-2018;teams_700.csv;Points,26-11-2018;teams_700.csv;Floor,26-11-2018;teams_800.csv;Ceiling,26-11-2018;teams_800.csv;Points,26-11-2018;teams_800.csv;Floor,26-11-2018;teams_900.csv;Ceiling,26-11-2018;teams_900.csv;Points,26-11-2018;teams_900.csv;Floor
22,257.5,262.25,258.75,265.0,247.75,217.75,294.75,286.5,289.0,257.25,241.0,212.25,220.75,243.5,246.0,237.5,240.0,243.0,198.5,225.25,223.0,311.75,269.75,333.0,321.25,248.0,326.75,241.0,272.75,257.25,283.75,265.5,299.0,307.5,281.25,292.5,230.25,249.75,248.0,280.5,274.0,236.5,289.5,293.5,257.5,213.5,205.75,231.5
23,281.5,273.75,295.0,250.5,240.0,254.5,296.5,309.5,315.25,265.25,242.0,226.25,248.5,269.0,243.0,244.5,244.0,237.75,235.5,205.75,192.75,298.0,318.0,289.75,333.5,267.25,324.5,257.75,302.75,237.75,287.5,292.5,279.25,259.75,308.5,301.25,234.75,243.75,225.75,290.75,272.25,275.0,282.75,301.25,275.25,208.75,220.5,231.25
24,304.5,265.5,262.0,257.5,250.75,220.75,312.0,302.0,306.0,242.5,270.75,226.25,264.0,237.25,218.25,235.75,256.25,228.5,229.5,208.0,195.75,293.0,310.75,307.75,280.5,261.25,301.0,253.5,313.75,239.0,282.75,305.0,258.25,292.75,316.0,299.0,186.75,258.75,226.0,284.75,307.25,255.0,293.75,279.5,244.75,187.5,201.0,212.25
25,299.25,289.5,232.5,260.5,263.25,237.25,284.25,280.75,280.25,215.25,204.75,225.25,248.25,249.0,259.25,211.75,246.0,244.5,230.75,218.75,249.25,323.25,303.5,288.0,310.75,268.5,306.25,219.25,268.5,287.25,292.25,284.75,261.5,297.5,246.75,283.0,237.5,222.25,213.5,302.75,313.0,278.75,291.75,260.25,283.5,192.75,245.25,207.0
26,265.5,292.0,254.5,236.75,236.5,219.25,289.75,299.25,284.25,225.25,260.75,267.5,214.75,269.0,250.75,253.25,242.25,222.75,224.5,229.5,206.75,306.5,302.75,321.5,313.25,243.25,308.25,275.75,290.75,253.5,295.5,280.75,280.5,254.75,286.25,277.0,216.25,200.25,231.5,295.5,313.0,285.0,262.0,270.0,256.5,210.25,196.25,206.75
27,299.25,267.0,261.25,240.75,229.75,229.75,316.25,304.25,313.75,244.0,252.5,253.0,238.5,272.0,237.0,284.25,234.5,222.5,200.0,234.0,201.5,306.0,323.25,315.0,296.5,275.0,290.5,225.5,289.75,199.5,292.0,290.0,285.5,277.75,285.5,295.0,264.5,214.25,243.75,293.5,284.0,237.75,296.25,279.75,251.5,200.25,194.5,228.5
28,259.75,232.5,275.5,275.0,236.25,259.0,307.0,310.25,327.5,223.75,236.5,270.0,243.0,245.5,251.5,262.5,276.25,241.0,205.5,231.0,202.0,310.0,307.25,327.75,321.5,288.0,315.25,247.0,282.25,194.75,299.75,265.5,262.5,323.5,239.5,299.5,246.25,220.25,246.0,310.25,280.0,266.0,264.25,291.75,289.75,199.75,234.0,228.25
29,279.5,249.75,266.5,244.5,249.75,237.0,288.5,293.75,314.75,230.25,272.5,229.5,239.25,237.5,234.5,255.0,245.0,226.5,224.0,221.5,210.75,309.0,258.5,299.0,290.0,290.0,303.25,245.5,296.0,211.75,280.0,295.5,281.5,318.25,258.75,288.75,198.25,204.75,204.0,287.75,303.0,238.5,279.0,275.25,255.5,209.0,236.75,235.25
30,267.5,277.0,276.5,257.5,256.75,253.75,317.0,288.5,303.75,286.75,241.25,231.75,233.0,232.75,222.75,253.25,243.0,214.75,203.5,202.75,209.25,357.25,258.5,292.5,302.75,314.75,341.0,287.25,277.25,234.25,281.0,244.0,265.5,292.75,281.5,303.5,223.75,275.0,222.0,332.5,281.5,270.75,275.25,294.5,259.75,205.0,220.0,241.0
31,265.5,261.0,295.75,255.0,244.25,234.0,315.5,280.5,278.5,273.25,268.25,253.5,245.0,248.75,244.5,234.5,226.5,204.5,190.25,217.75,216.0,294.5,320.5,320.5,286.0,250.5,310.0,278.5,262.0,258.75,275.75,246.0,287.5,283.5,260.5,304.5,216.75,227.0,209.5,259.5,274.0,271.25,294.5,296.25,241.25,222.5,218.0,252.0
